hhid;cluster_nb;hh_nb;sample_weight;year;urban_rural;electricity;radio;tv;fridge;motorcycle;car_truck;telephone;recode_toilet;recode_water;recode_floor;rooms_per_person
        8516;85;16;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,5
        9424;94;24;1673658;97;urban;0;1;0;0;0;0;0;0;0;0;0,166666667
       21017;210;17;1070160;97;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
        6611;66;11;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,5
       11817;118;17;1231883;97;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
       122 2;122;2;1231883;97;rural;0;0;0;0;0;0;0;0;0;0;0,5
       155 1;155;1;1080652;97;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
        77 5;77;5;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
        7435;74;35;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
         112;1;12;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,2
       17617;176;17;767428;97;rural;0;1;0;0;0;0;0;0;0;0;0,285714286
         5 5;5;5;496466;97;urban;0;1;0;0;0;0;0;0;1;0;0,333333333
        18 3;18;3;496466;97;urban;0;1;0;0;0;0;0;0;1;0;0,25
        1012;10;12;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,125
        16 3;16;3;496466;97;urban;1;0;0;0;0;0;0;0;1;0;1
       21042;210;42;1070160;97;rural;0;0;0;0;0;0;0;0;0;0;1
        58 6;58;6;1578354;97;urban;0;0;0;0;0;0;0;0;1;0;1
       17727;177;27;767428;97;rural;0;0;0;0;0;0;0;0;1;0;0,25
       114 4;114;4;1231883;97;rural;0;1;0;0;0;0;0;0;0;0;0,25
        36 1;36;1;496466;97;urban;1;1;0;0;0;0;0;0;1;0;1
         123;1;23;496466;97;urban;0;1;0;0;0;0;0;0;1;0;0,4
        11 4;11;4;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,2
         1 5;1;5;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,166666667
        1912;19;12;496466;97;urban;0;1;0;0;0;0;0;0;1;0;0,166666667
        5618;56;18;1578354;97;urban;0;1;0;0;0;0;0;0;1;0;0,25
        6235;62;35;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;1
       12218;122;18;1231883;97;rural;0;0;0;0;0;0;0;0;0;0;0,125
        3021;30;21;496466;97;urban;0;1;0;0;0;0;0;0;1;0;0,25
        3020;30;20;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,25
        7946;79;46;1490113;97;rural;0;0;0;0;0;0;0;0;0;0;1
        7221;72;21;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
        2911;29;11;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
        9432;94;32;1673658;97;urban;0;0;0;0;0;0;0;0;1;0;0,25
        66 6;66;6;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;1
        80 5;80;5;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,25
       22638;226;38;1070160;97;rural;0;0;0;0;0;0;0;0;1;0;1
        1114;11;14;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,125
        75 7;75;7;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,125
        77 2;77;2;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
       15333;153;33;1080652;97;rural;0;0;0;0;0;0;0;0;1;0;0,111111111
        17 9;17;;496466;97;urban;1;0;0;0;0;0;0;0;1;0;0,272727273
       10612;106;12;1231883;97;rural;0;0;0;0;0;0;0;0;0;0;0,2
       19319;193;19;767428;97;rural;0;1;0;0;0;0;0;0;0;0;0,5
       10017;100;17;1231883;97;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
         9 3;;3;496466;97;urban;0;1;0;0;0;0;0;0;1;0;0,166666667
        5510;55;10;1578354;97;urban;0;0;0;0;0;0;0;0;1;0;0,1
        7513;75;13;1490113;97;rural;0;0;0;0;0;0;0;0;0;0;0,222222222
        7934;79;34;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,375
        7939;79;39;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,375
        81 4;81;4;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,25
        76 4;76;4;1490113;97;rural;0;0;0;0;0;0;0;0;0;0;0,2
        6916;69;16;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,25
        2428;24;28;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
       19713;197;13;1230770;97;urban;1;1;0;0;0;0;0;1;1;0;1,142857143
        66 1;66;1;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
         335;3;35;496466;97;urban;0;0;0;0;0;0;0;0;1;0;1
         419;4;19;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,142857143
        7822;78;22;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,4
        57 4;57;4;1578354;97;urban;0;0;0;0;0;0;0;0;1;0;0,25
        6934;69;34;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;0,5
        6921;69;21;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
        11 3;11;3;496466;97;urban;0;0;0;0;0;0;0;0;1;0;0,2
       17912;179;12;767428;97;rural;0;0;0;0;0;0;0;0;0;0;0,2
        5949;59;49;1490113;97;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
        7912;79;12;1490113;97;rural;0;0;0;0;0;0;0;0;1;0;1
       12228;122;28;1231883;97;rural;0;0;0;0;0;0;0;0;0;0;0,2
         817;8;17;496466;97;urban;0;1;0;0;0;0;0;0;1;0;0,25
        3119;31;19;496466;97;urban;1;1;0;0;0;0;0;0;1;0;1
        5511;55;11;1578354;97;urban;0;1;0;0;0;0;0;0;1;0;0,333333333
         612;6;12;496466;97;urban;1;0;0;0;0;0;0;0;1;0;0,166666667
       165 4;165;4;1143847;97;urban;0;1;0;0;0;0;0;0;0;0;0,2
       16512;165;12;1143847;97;urban;0;1;0;0;0;0;0;0;0;0;0,25
