hhid;cluster_nb;hh_nb;sample_weight;year;urban_rural;electricity;radio;tv;fridge;motorcycle;car_truck;telephone;recode_toilet;recode_water;recode_floor;rooms_per_person
005015;5;15;676188;2013;rural;0;1;0;0;0;0;0;0;0;0;0,4
035088;35;88;1191357;2013;rural;0;1;0;0;0;0;0;1;1;0;0,5
047138;47;138;1092839;2013;rural;0;0;0;0;0;0;0;0;1;0;0,2
165030;165;30;1662610;2013;rural;0;0;0;0;0;0;0;0;0;0;0,25
010008;10;8;1256686;2013;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
056051;56;51;815272;2013;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
185139;185;139;252676;2013;rural;0;0;0;0;0;0;0;0;0;0;0,5
010043;10;43;1256686;2013;rural;0;1;0;0;0;0;0;0;1;0;0,2
185144;185;144;252676;2013;rural;0;0;0;0;0;0;0;0;0;0;1
016049;16;49;1090948;2013;rural;0;1;0;0;0;0;0;1;1;0;0,333333333
034076;34;76;92097;2013;urban;1;1;0;0;0;0;0;0;1;0;0,125
219040;219;40;158029;2013;rural;0;0;0;0;0;0;0;0;1;0;0,5
093123;93;123;2140643;2013;rural;0;0;0;0;0;0;0;0;0;0;0,5
138082;138;82;2878692;2013;rural;0;1;0;0;0;0;0;0;1;0;0,6
017196;17;196;2774479;2013;rural;0;0;0;0;0;0;0;0;0;0;0,285714286
238144;238;144;2182294;2013;rural;0;0;0;0;0;0;0;0;0;0;0,285714286
206113;206;113;218438;2013;rural;0;0;0;0;0;0;0;0;0;0;1
010003;10;3;1256686;2013;rural;0;0;0;0;0;0;0;0;1;0;0,125
047186;47;186;1092839;2013;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
015145;15;145;1701638;2013;rural;0;0;0;0;0;0;0;0;1;0;0,666666667
138100;138;100;2878692;2013;rural;0;1;0;0;0;0;0;0;1;0;0,25
047062;47;62;1092839;2013;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
210003;210;3;250590;2013;rural;0;0;0;0;0;0;0;0;0;0;0,25
016054;16;54;1090948;2013;rural;0;1;0;0;0;0;0;0;1;0;0,1
196009;196;;352087;2013;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
169013;169;13;357449;2013;urban;1;1;0;0;0;0;0;0;0;0;0,333333333
235088;235;88;1243836;2013;rural;0;0;0;0;0;0;0;0;1;0;1
005006;5;6;676188;2013;rural;0;1;0;0;0;0;0;0;0;0;0,5
010049;10;49;1256686;2013;rural;0;1;0;0;0;0;0;0;1;0;0,25
019025;19;25;1014807;2013;rural;0;0;0;0;0;0;0;0;0;0;1
012057;12;57;801860;2013;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
161079;161;79;2241030;2013;rural;0;1;0;0;0;0;0;0;0;0;0,2
184029;184;29;244860;2013;rural;0;0;0;0;0;0;0;0;1;0;1
041003;41;3;1136102;2013;rural;0;1;0;0;0;0;0;1;1;0;0,222222222
069102;69;102;134703;2013;urban;0;1;0;0;0;0;0;1;1;0;0,166666667
