hhid;cluster_nb;hh_nb;sample_weight;year;urban_rural;electricity;radio;tv;fridge;motorcycle;car_truck;telephone;recode_toilet;recode_water;recode_floor;rooms_per_person
      055103;55;103;632747;2011;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      041121;41;121;2017104;2011;rural;1;1;0;0;0;0;0;0;1;0;0,125
      171159;171;159;292229;2011;rural;1;1;0;0;0;0;0;0;1;0;0,227272727
      041007;41;7;2017104;2011;rural;0;1;0;0;0;0;0;0;1;0;0,3
      055026;55;26;632747;2011;rural;0;1;0;0;0;0;0;0;1;0;0,5
      135096;135;96;2786864;2011;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      052124;52;124;953151;2011;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      169174;169;174;2997406;2011;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      042020;42;20;518159;2011;rural;0;1;0;0;0;0;0;0;1;0;0,285714286
      185098;185;98;265473;2011;rural;0;0;0;0;0;0;0;0;0;0;0,2
      083229;83;229;3179636;2011;rural;0;0;0;0;0;0;0;0;1;0;0,4
      131192;131;192;493560;2011;urban;1;0;0;0;0;0;0;0;1;0;0,5
      070089;70;89;1190603;2011;rural;0;1;0;0;0;0;0;0;1;0;0,5
      184142;184;142;289069;2011;rural;0;0;0;0;0;0;0;0;1;0;0,25
      008013;8;13;894955;2011;rural;0;1;0;0;0;0;0;1;1;0;0,2
      054100;54;100;986516;2011;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
      011049;11;49;1238649;2011;rural;0;0;0;0;0;0;0;0;0;0;0,25
      138107;138;107;2302000;2011;rural;0;1;0;0;0;0;0;0;0;0;0,4
      209056;209;56;208771;2011;rural;0;0;0;0;0;0;0;0;0;0;0,2
      196103;196;103;253600;2011;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      010141;10;141;1085623;2011;rural;0;1;0;0;0;0;0;0;1;0;0,5
      137043;137;43;535415;2011;urban;0;1;0;0;0;0;0;0;1;0;0,166666667
      052115;52;115;953151;2011;rural;0;1;0;0;0;0;0;0;1;0;0,375
      175034;175;34;236528;2011;rural;0;0;0;0;0;0;0;0;0;0;0,5
      216248;216;248;425954;2011;rural;0;0;0;0;0;0;0;0;1;0;0,090909091
      168066;168;66;246391;2011;rural;0;0;0;0;0;0;0;0;0;0;0,2
      055020;55;20;632747;2011;rural;0;1;0;0;0;0;0;0;1;0;0,285714286
      048173;48;173;2688667;2011;rural;0;1;0;0;0;0;0;0;1;0;0,2
      215039;215;39;220007;2011;rural;0;0;0;0;0;0;0;0;0;0;0,25
      162256;162;256;495871;2011;urban;1;1;1;0;0;0;0;0;1;0;0,285714286
      138065;138;65;2302000;2011;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      156069;156;69;578995;2011;urban;1;1;1;0;1;0;0;0;1;0;0,333333333
      186116;186;116;306928;2011;rural;0;0;0;0;0;0;0;0;1;0;1
      036057;36;57;1843930;2011;rural;0;1;0;0;0;0;0;0;1;0;0,285714286
      161148;161;148;411072;2011;urban;0;1;0;0;0;0;0;1;1;0;0,2
      054011;54;11;986516;2011;rural;0;0;0;0;0;0;0;0;1;0;0,6
      060133;60;133;1161355;2011;rural;0;1;0;0;0;0;0;0;0;0;0,2
      026152;26;152;1195735;2011;rural;0;1;0;0;0;0;0;0;1;0;0,285714286
      049140;49;140;143456;2011;urban;0;0;0;0;0;0;0;0;1;0;0,142857143
      215096;215;96;220007;2011;rural;0;0;0;0;0;0;0;0;0;0;0,5
      015200;15;200;1253041;2011;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
      246093;246;93;1898097;2011;rural;0;0;0;0;0;0;0;0;0;0;1
      129036;129;36;428828;2011;urban;0;0;0;0;0;0;0;0;1;0;0,25
      184112;184;112;289069;2011;rural;0;0;0;0;0;0;0;0;1;0;0,2
      039024;39;24;1726045;2011;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      131174;131;174;493560;2011;urban;0;0;0;0;0;0;0;0;1;0;0,125
      166022;166;22;291899;2011;rural;0;0;0;0;0;0;0;0;0;0;1
      210108;210;108;288233;2011;rural;0;1;0;0;0;0;0;0;1;0;0,25
      120057;120;57;175326;2011;urban;1;1;1;0;0;0;0;0;1;0;0,142857143
      011151;11;151;1238649;2011;rural;0;1;0;0;0;1;0;0;0;0;0,166666667
      060044;60;44;1161355;2011;rural;0;1;0;0;0;0;0;0;0;0;0,285714286
      168098;168;98;246391;2011;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
      054130;54;130;986516;2011;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
      060098;60;98;1161355;2011;rural;0;0;0;0;0;0;0;0;1;0;0,285714286
      222181;222;181;2117866;2011;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      217152;217;152;237819;2011;rural;0;0;0;0;0;0;0;0;0;0;0,125
      127009;127;;2391733;2011;rural;0;1;0;0;0;0;0;0;0;0;0,25
      241125;241;125;297876;2011;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
      229086;229;86;1247139;2011;rural;0;0;0;0;0;0;0;0;1;0;0,25
      173050;173;50;208666;2011;rural;0;1;0;0;0;0;0;0;0;0;0,2
      041104;41;104;2017104;2011;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      173115;173;115;208666;2011;rural;0;0;0;0;0;0;0;0;0;0;0,25
      153201;153;201;2679533;2011;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      202142;202;142;233876;2011;rural;0;0;0;0;0;0;0;0;0;0;0,2
      038120;38;120;1498287;2011;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      172085;172;85;258105;2011;rural;0;0;0;0;0;0;0;0;0;0;0,5
      181043;181;43;430358;2011;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      233123;233;123;361776;2011;rural;0;0;0;0;0;0;0;0;0;0;0,2
      173015;173;15;208666;2011;rural;0;0;0;0;0;0;0;0;0;0;0,153846154
