hhid;cluster_nb;hh_nb;sample_weight;year;urban_rural;electricity;radio;tv;fridge;motorcycle;car_truck;telephone;recode_toilet;recode_water;recode_floor;rooms_per_person
       95100;95;100;2577907;2009;rural;0;1;0;0;0;0;0;0;0;0;0,4
      141 62;141;62;648752;2009;rural;0;0;0;0;0;0;0;0;1;0;0,25
      160 68;160;68;807239;2008;rural;0;1;0;0;0;0;0;1;0;0;0,166666667
      459 35;459;35;666762;2008;rural;0;0;0;0;0;0;0;0;1;0;0,5
      154126;154;126;850264;2009;urban;1;0;1;0;0;0;0;1;1;0;0,25
      445109;445;109;350187;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      342 11;342;11;863172;2009;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
       29193;29;193;868269;2008;urban;0;0;0;0;0;0;0;1;1;0;0,2
       90128;90;128;2160448;2009;rural;0;0;0;0;0;0;0;0;1;0;0,125
       84 12;84;12;1805158;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      134 49;134;49;614255;2008;rural;0;0;0;0;0;0;0;0;1;0;0,5
       90 41;90;41;2160448;2009;rural;0;1;0;0;0;0;0;0;0;0;0,125
      445139;445;139;350187;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      458220;458;220;2779625;2008;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
       32  5;32;5;737340;2008;urban;0;1;0;0;0;0;0;0;1;0;0,285714286
      341 24;341;24;506371;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
      467133;467;133;1641452;2009;rural;0;0;0;0;0;0;0;0;1;0;0,5
      437 31;437;31;170317;2009;rural;0;0;0;0;0;0;0;0;0;0;0,5
      435 14;435;14;213987;2009;rural;0;0;0;0;0;0;0;0;0;0;0,5
      101 40;101;40;546925;2008;urban;0;1;0;0;0;0;0;0;1;0;0,333333333
      109175;109;175;1238717;2008;rural;0;0;0;0;0;0;0;0;1;0;0,4
      139 47;139;47;196134;2009;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
       74117;74;117;2727178;2008;rural;0;1;0;0;0;0;0;0;1;0;0,285714286
      113  7;113;7;796736;2008;rural;0;1;0;0;0;0;0;0;1;0;0,5
       74 66;74;66;2727178;2008;rural;0;1;0;0;0;0;1;0;1;0;0,333333333
      440 70;440;70;191480;2009;urban;0;1;0;0;0;0;0;0;0;0;1
      437 54;437;54;170317;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      179 51;179;51;784649;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      434  9;434;;234998;2009;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
      104 90;104;90;712605;2008;rural;0;1;0;0;0;0;0;0;0;0;0,285714286
      442 17;442;17;232980;2009;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
      403188;403;188;121052;2009;urban;0;0;0;0;0;0;0;0;1;0;0,25
      179113;179;113;784649;2009;rural;0;1;0;0;0;0;0;0;0;0;0,2
       51 74;51;74;3329191;2008;rural;0;0;0;0;0;0;0;0;1;0;0,25
      374 98;374;98;696534;2009;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
       60 12;60;12;2142327;2008;rural;0;0;0;0;0;0;0;0;1;0;1
      175  8;175;8;958290;2009;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
      348 51;348;51;1069490;2009;rural;0;1;0;0;0;0;0;0;1;0;0,6
      189 13;189;13;667564;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
      514109;514;109;598478;2008;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      179160;179;160;784649;2009;rural;0;0;0;0;0;0;0;0;0;0;0,111111111
      561  7;561;7;562520;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      438 15;438;15;152586;2009;rural;0;0;0;0;0;0;0;0;0;0;0,5
      189 51;189;51;667564;2009;rural;0;1;0;0;0;0;0;0;0;0;0,4
       83192;83;192;2862096;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
       30 58;30;58;1018929;2008;urban;0;1;1;0;0;0;0;0;1;0;0,142857143
      192106;192;106;1558783;2009;rural;1;1;0;0;0;0;0;1;1;0;0,4
        4114;4;114;500233;2008;urban;1;0;1;0;0;0;0;0;1;0;0,333333333
      107 99;107;;628577;2008;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
        4123;4;123;500233;2008;urban;0;1;0;0;0;0;0;0;1;0;0,333333333
      358  9;358;;955515;2008;rural;0;0;0;0;0;0;0;0;0;0;0,222222222
       95170;95;170;2577907;2009;rural;0;0;0;0;0;0;0;0;0;0;0,111111111
      493 15;493;15;485548;2009;rural;0;0;0;0;0;0;0;0;1;0;0,2
      156 21;156;21;385721;2009;urban;0;0;0;0;0;0;0;0;1;0;0,166666667
       92  8;92;8;2299930;2009;rural;0;1;0;0;0;0;0;0;0;0;1
      176 68;176;68;932999;2009;rural;0;0;0;0;0;0;0;0;0;0;0,571428571
      141145;141;145;648752;2009;rural;0;0;0;0;0;0;0;0;1;0;1
      133114;133;114;577224;2008;rural;0;0;0;0;0;0;0;0;1;0;1
      163 11;163;11;964687;2009;rural;0;1;0;0;0;0;0;0;1;0;0,4
      476 57;476;57;741714;2009;rural;0;0;0;0;0;0;0;0;0;0;0,3
      424 53;424;53;395462;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      443100;443;100;470803;2009;rural;0;1;0;0;0;0;0;0;0;0;0,142857143
      164113;164;113;1287337;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      188 81;188;81;495278;2009;rural;0;1;0;0;0;0;0;0;0;0;0,222222222
       51 65;51;65;3329191;2008;rural;1;0;1;0;0;0;0;0;1;0;0,2
      337 32;337;32;1282996;2009;rural;0;1;0;0;0;0;0;0;0;0;0,2
      476 94;476;94;741714;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
       42162;42;162;666914;2008;urban;0;1;0;0;0;0;0;0;1;0;0,5
      542132;542;132;894971;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      460 84;460;84;1867255;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      468 36;468;36;453021;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
       44258;44;258;1020188;2008;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
       92111;92;111;2299930;2009;rural;0;1;0;0;0;0;0;0;0;0;0,6
      113 47;113;47;796736;2008;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      439 43;439;43;104073;2009;urban;0;0;0;0;0;0;0;0;0;0;0,5
      458 49;458;49;2779625;2008;rural;1;0;0;0;0;0;0;0;1;0;0,375
       80130;80;130;1579810;2008;urban;0;0;0;0;0;0;0;1;0;0;0,5
      356 50;356;50;770442;2009;urban;0;0;0;0;0;0;0;0;1;0;0,5
      435 57;435;57;213987;2009;rural;0;1;0;0;0;0;0;0;0;0;0,2
      104 48;104;48;712605;2008;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
       60169;60;169;2142327;2008;rural;0;1;0;0;0;0;0;0;0;0;0,428571429
      177 86;177;86;950490;2009;rural;0;0;0;0;0;0;0;0;0;0;0,111111111
      161233;161;233;1921266;2009;rural;0;1;0;0;0;0;0;1;0;0;0,2
      149246;149;246;805920;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      168 18;168;18;839492;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      336150;336;150;1223750;2009;rural;0;0;0;0;0;0;0;0;0;0;1
      543142;543;142;747544;2009;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
      133133;133;133;577224;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      326126;326;126;1674351;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      200 36;200;36;863318;2009;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
      175 53;175;53;958290;2009;rural;0;1;0;0;0;0;0;0;1;0;0,25
       94 84;94;84;1876477;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
      436 11;436;11;348421;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      165 38;165;38;1186068;2009;rural;0;1;0;0;0;0;0;0;1;0;0,666666667
      327171;327;171;1917643;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      250 69;250;69;495415;2008;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
      436  7;436;7;348421;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
       85 67;85;67;1564361;2009;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      516250;516;250;1219400;2008;rural;0;0;0;0;0;0;0;0;1;0;0,125
      110151;110;151;908218;2008;rural;0;1;0;0;0;0;0;1;0;0;0,333333333
       71134;71;134;3155801;2008;rural;0;0;0;0;0;0;0;0;1;0;0,142857143
      248  4;248;4;248844;2008;rural;1;1;0;0;0;0;0;0;1;0;0,4
      103222;103;222;1474240;2008;rural;0;1;0;0;0;0;0;0;1;0;0,142857143
      178175;178;175;1369705;2009;rural;0;1;0;0;0;0;0;0;1;0;0,2
       71164;71;164;3155801;2008;rural;1;1;1;0;0;0;0;0;1;0;0,125
      154200;154;200;850264;2009;urban;0;1;0;0;0;0;0;0;1;0;0,5
      132280;132;280;857149;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
       85 92;85;92;1564361;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
      115 34;115;34;691886;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      157204;157;204;1188112;2008;urban;0;1;0;0;0;0;0;1;1;0;0,142857143
      158168;158;168;2031627;2009;rural;0;1;0;0;0;0;0;0;0;0;2
       63 63;63;63;1549251;2008;rural;0;0;0;0;0;0;0;0;0;0;0,5
      402 82;402;82;92237;2009;urban;0;0;0;0;0;0;0;0;1;0;0,5
      228  9;228;;189633;2009;urban;0;1;0;0;0;0;0;0;1;0;0,222222222
      445 44;445;44;350187;2009;rural;0;0;0;0;0;0;0;0;0;0;0,5
      102395;102;395;523295;2008;urban;0;1;0;0;0;0;0;1;1;0;0,4
      130234;130;234;975539;2009;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
      102310;102;310;523295;2008;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
      478128;478;128;1079527;2009;rural;0;0;0;0;0;0;0;0;0;0;0,4
      102240;102;240;523295;2008;urban;0;1;0;0;0;0;0;1;1;0;0,333333333
      219 65;219;65;1379801;2009;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
      413 76;413;76;320411;2009;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
      139 24;139;24;196134;2009;rural;0;1;0;0;0;0;0;0;1;0;0,25
      139 32;139;32;196134;2009;rural;0;1;0;0;0;0;0;0;1;0;0,2
       94102;94;102;1876477;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      102296;102;296;523295;2008;urban;0;1;0;0;0;0;0;0;0;0;0,25
       75119;75;119;2382231;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      390 15;390;15;2160869;2009;rural;0;0;0;0;0;0;0;0;0;0;1
      387 32;387;32;826971;2008;rural;0;1;0;0;0;0;0;0;1;0;1
      530 14;530;14;236981;2009;urban;0;0;0;0;0;0;0;0;1;0;0,2
      120162;120;162;902394;2009;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
      147118;147;118;542321;2008;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
       54118;54;118;2673406;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      102353;102;353;523295;2008;urban;0;1;0;0;0;0;0;0;1;0;0,25
       84 21;84;21;1805158;2009;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      547178;547;178;1348419;2009;rural;0;0;0;0;0;0;0;0;1;0;0,2
      413154;413;154;320411;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
      139 61;139;61;196134;2009;rural;0;1;0;0;0;0;0;0;1;0;0,25
       88 68;88;68;2124506;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
       45 42;45;42;596697;2008;urban;0;1;0;0;0;0;0;0;1;0;0,222222222
      179 56;179;56;784649;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      133177;133;177;577224;2008;rural;0;1;0;0;0;0;0;0;0;0;0,25
      105 18;105;18;778583;2008;rural;0;1;0;0;0;0;0;0;1;0;0,4
      232 44;232;44;822940;2009;rural;0;1;0;0;0;0;0;0;0;0;0,2
      179 82;179;82;784649;2009;rural;0;0;0;0;0;0;0;0;0;0;0,111111111
      140 21;140;21;422006;2008;rural;0;1;0;0;1;0;0;0;1;0;0,5
      105 44;105;44;778583;2008;rural;0;1;0;0;0;0;0;0;1;0;0,2
      410 42;410;42;164851;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      105 49;105;49;778583;2008;rural;0;1;0;0;0;0;0;0;1;0;0,25
      496 42;496;42;675949;2009;rural;0;0;0;0;0;0;0;0;1;0;0,5
      341 46;341;46;506371;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      188 68;188;68;495278;2009;rural;0;1;0;0;0;0;0;0;0;0;0,4
      535  6;535;6;404384;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      442 27;442;27;232980;2009;rural;0;0;0;0;0;0;0;0;0;0;1
      208121;208;121;512132;2009;urban;0;0;0;0;0;0;0;0;1;0;0,2
      143154;143;154;696487;2009;rural;0;1;0;0;0;0;0;0;0;0;0,125
      113 72;113;72;796736;2008;rural;0;1;0;0;0;0;0;0;1;0;0,4
      107 62;107;62;628577;2008;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      165 15;165;15;1186068;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
       71 28;71;28;3155801;2008;rural;1;1;1;0;0;0;0;0;0;0;0,5
      222 66;222;66;810710;2008;rural;0;0;0;0;0;0;0;0;0;0;0,25
      198 47;198;47;1134049;2009;rural;0;1;0;0;0;0;0;0;1;0;0,2
       68172;68;172;2095294;2009;rural;0;0;0;0;0;0;0;0;0;0;1
      166145;166;145;1402602;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
       88  1;88;1;2124506;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
       89 48;89;48;2108651;2009;rural;0;0;0;0;0;0;0;0;1;0;0,25
      168 24;168;24;839492;2009;rural;0;1;0;0;0;0;0;0;1;0;1
       85 29;85;29;1564361;2009;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      437  4;437;4;170317;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
       30 76;30;76;1018929;2008;urban;0;0;0;0;0;0;0;0;1;0;0,166666667
      107 90;107;90;628577;2008;rural;0;1;0;0;0;0;0;0;1;0;0,5
      184 14;184;14;604493;2009;rural;0;1;0;0;0;0;0;0;0;0;0,4
      483 91;483;91;481433;2009;rural;0;0;0;0;0;0;0;0;0;0;0,230769231
      480  1;480;1;254258;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
      175 59;175;59;958290;2009;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
       89104;89;104;2108651;2009;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      502151;502;151;483879;2008;urban;0;0;0;0;0;0;0;0;1;0;0,2
      136107;136;107;517785;2009;rural;0;1;0;0;0;0;0;0;0;0;0,4
