hhid;cluster_nb;hh_nb;sample_weight;year;urban_rural;electricity;radio;tv;fridge;motorcycle;car_truck;telephone;recode_toilet;recode_water;recode_floor;rooms_per_person
      152 16;152;16;630425;2009;urban;0;1;0;0;0;0;0;0;1;0;1
        5 33;5;33;435266;2008;urban;1;1;1;0;0;0;0;0;1;0;0,333333333
      159158;159;158;2047712;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      496 14;496;14;675949;2009;rural;0;0;0;0;0;0;0;0;1;0;0,090909091
       70112;70;112;3308467;2008;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      113 27;113;27;796736;2008;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
      361 43;361;43;817245;2009;rural;0;1;0;0;0;0;0;0;0;0;1
      400 11;400;11;1609950;2009;rural;0;0;0;0;0;0;0;0;1;0;1
       39 84;39;84;713492;2008;urban;0;1;0;0;0;0;0;0;1;0;1
       88 84;88;84;2124506;2009;rural;0;1;0;0;0;0;0;0;0;0;0,125
      165 85;165;85;1186068;2009;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      223 13;223;13;608316;2008;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      138137;138;137;435432;2009;rural;0;0;0;0;0;0;0;0;0;0;1
       76  7;76;7;1036690;2009;urban;0;0;0;0;0;0;0;0;0;0;0,25
      450 79;450;79;653605;2009;rural;0;0;0;0;0;0;0;0;0;0;0,5
      107 16;107;16;628577;2008;rural;0;0;0;0;0;0;0;0;1;0;0,2
      180 71;180;71;715862;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
       78136;78;136;1236283;2009;urban;0;0;0;0;0;0;0;0;1;0;0,142857143
       89 99;89;;2108651;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      177162;177;162;950490;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      200 65;200;65;863318;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      134 66;134;66;614255;2008;rural;0;1;0;0;0;0;0;0;1;0;0,2
       27 64;27;64;283452;2008;urban;0;1;0;0;0;0;0;0;1;0;0,25
       87112;87;112;3152641;2009;rural;0;1;0;0;0;0;0;0;1;0;0,25
      162 50;162;50;996692;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      495 59;495;59;433197;2009;rural;0;0;0;0;0;0;0;0;0;0;0,5
      109215;109;215;1238717;2008;rural;0;0;0;0;0;0;0;0;1;0;0,5
      141119;141;119;648752;2009;rural;0;0;0;0;0;0;0;0;1;0;0,25
      437  6;437;6;170317;2009;rural;0;1;0;0;0;0;0;0;0;0;0,2
       94 38;94;38;1876477;2009;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      180 12;180;12;715862;2009;rural;0;1;0;0;0;0;0;0;1;0;0,125
      223  7;223;7;608316;2008;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      118191;118;191;1109954;2009;rural;0;1;0;0;0;0;0;0;1;0;0,142857143
      107 53;107;53;628577;2008;rural;0;1;0;0;0;0;0;0;1;0;0,666666667
      179 41;179;41;784649;2009;rural;0;0;0;0;0;0;0;0;0;0;0,666666667
      110174;110;174;908218;2008;rural;0;1;0;0;0;0;0;0;1;0;0,25
      434 15;434;15;234998;2009;rural;0;0;0;0;0;0;0;0;0;0;0,285714286
      329188;329;188;1950279;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
      359154;359;154;1098412;2008;rural;0;0;0;0;0;0;0;0;0;0;0,2
      163 63;163;63;964687;2009;rural;0;1;0;0;0;0;0;0;0;0;0,125
      326134;326;134;1674351;2009;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      110111;110;111;908218;2008;rural;0;1;0;0;0;0;0;0;1;0;0,4
      115125;115;125;691886;2008;rural;0;1;0;0;0;0;0;0;0;0;0,2
      466112;466;112;1328318;2009;rural;0;1;0;0;0;0;0;0;0;0;0,125
      359214;359;214;1098412;2008;rural;0;0;0;0;0;0;0;0;0;0;0,125
      107 37;107;37;628577;2008;rural;0;1;0;0;0;0;0;0;1;0;0,666666667
      189 23;189;23;667564;2009;rural;0;0;0;0;0;0;0;0;0;0;0,181818182
      421 23;421;23;359391;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      441 12;441;12;87662;2009;urban;0;1;0;0;0;0;0;0;0;0;0,25
      116 51;116;51;913484;2009;rural;0;1;0;0;0;0;0;0;1;0;0,25
       87169;87;169;3152641;2009;rural;0;1;0;0;0;0;0;0;1;0;0,5
      162 69;162;69;996692;2009;rural;0;1;0;0;0;0;0;0;0;0;0,428571429
      116172;116;172;913484;2009;rural;0;0;0;0;0;0;0;0;1;0;0,2
       50204;50;204;629274;2008;urban;0;0;0;0;0;0;0;0;1;0;0,25
      123120;123;120;776193;2009;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
       94 42;94;42;1876477;2009;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      439 34;439;34;104073;2009;urban;0;1;0;0;0;0;0;0;1;0;0,333333333
      346 12;346;12;1475665;2009;rural;0;0;0;0;0;0;0;0;1;0;0,5
      108 41;108;41;962206;2008;rural;0;0;0;0;0;0;0;0;1;0;0,5
      113 32;113;32;796736;2008;rural;0;1;0;0;0;0;0;0;1;0;0,4
      108104;108;104;962206;2008;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      250153;250;153;495415;2008;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
       23 23;23;23;471757;2008;urban;0;0;0;0;0;0;0;0;1;0;0,166666667
      439 68;439;68;104073;2009;urban;0;0;0;0;0;0;0;0;0;0;0,25
      412 77;412;77;440435;2009;rural;0;1;0;0;0;0;0;0;1;0;0,4
      500155;500;155;722027;2009;rural;0;1;0;0;0;0;0;0;1;0;0,5
       68 18;68;18;2095294;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      535 79;535;79;404384;2009;rural;0;1;0;0;0;0;0;0;0;0;0,285714286
      333171;333;171;420748;2009;urban;0;0;0;0;0;0;0;0;1;0;0,166666667
      158 46;158;46;2031627;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
      155143;155;143;1007002;2009;urban;0;0;0;0;0;0;0;1;0;0;0,166666667
      151253;151;253;1079972;2009;urban;0;0;0;0;0;0;0;1;1;0;0,111111111
       80301;80;301;1579810;2008;urban;0;0;0;0;0;0;0;0;0;0;0,166666667
      139 14;139;14;196134;2009;rural;0;0;0;0;0;0;0;0;1;0;0,25
       84 89;84;89;1805158;2009;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      102 57;102;57;523295;2008;urban;0;0;0;0;0;0;0;0;1;0;0,5
       60112;60;112;2142327;2008;rural;0;0;0;0;0;0;0;0;1;0;0,25
      114104;114;104;949412;2008;rural;0;1;0;0;0;0;0;0;1;0;0,666666667
      528202;528;202;959177;2009;rural;0;0;0;0;0;0;0;0;0;0;1
       88162;88;162;2124506;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      136118;136;118;517785;2009;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      134 90;134;90;614255;2008;rural;0;1;0;0;0;0;0;0;1;0;0,142857143
       91176;91;176;2314500;2009;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
       46 77;46;77;395679;2008;urban;0;1;0;0;0;0;0;0;1;0;0,333333333
      478142;478;142;1079527;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
      394100;394;100;1291520;2009;rural;0;1;0;0;0;0;0;0;0;0;0,285714286
       85 51;85;51;1564361;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
       27  3;27;3;283452;2008;urban;0;1;0;0;0;0;0;1;1;0;0,166666667
      188 11;188;11;495278;2009;rural;0;0;0;0;0;0;0;0;1;0;0,285714286
      158214;158;214;2031627;2009;rural;0;1;0;0;0;0;0;0;0;0;0,666666667
      372 53;372;53;1029464;2008;rural;1;1;1;0;0;0;0;0;1;0;1
      114167;114;167;949412;2008;rural;0;1;0;0;0;0;0;0;0;0;0,142857143
      131157;131;157;624052;2009;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
      515 61;515;61;334028;2009;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      109 94;109;94;1238717;2008;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
      103173;103;173;1474240;2008;rural;0;1;0;0;0;0;0;0;1;0;0,142857143
      176159;176;159;932999;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
       30195;30;195;1018929;2008;urban;1;0;1;0;0;0;0;0;1;0;0,2
       17343;17;343;878667;2008;urban;0;1;1;0;0;0;0;0;1;0;0,222222222
       89172;89;172;2108651;2009;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
        5 70;5;70;435266;2008;urban;0;1;0;0;0;0;0;0;1;0;0,25
      118176;118;176;1109954;2009;rural;0;1;0;0;0;0;0;0;1;0;1
       84 55;84;55;1805158;2009;rural;0;0;0;0;0;0;0;0;0;0;0,125
      428202;428;202;472793;2009;rural;0;0;0;0;0;0;0;0;0;0;0,2
      406 77;406;77;342708;2009;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      466 75;466;75;1328318;2009;rural;0;0;0;0;0;0;0;0;1;0;0,2
      513  5;513;5;84489;2009;urban;0;1;0;0;0;0;0;0;1;0;0,2
      141 68;141;68;648752;2009;rural;0;1;0;0;0;0;0;0;1;0;0,222222222
       41161;41;161;555108;2008;urban;1;1;1;0;0;0;0;1;1;0;0,166666667
      161111;161;111;1921266;2009;rural;0;1;0;0;0;0;0;1;1;0;0,2
      132216;132;216;857149;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      169 36;169;36;1615487;2009;rural;0;1;0;0;0;0;0;0;0;0;0,272727273
       54141;54;141;2673406;2008;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
      200134;200;134;863318;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
      163 96;163;96;964687;2009;rural;0;0;0;0;0;0;0;0;0;0;0,25
       63 80;63;80;1549251;2008;rural;0;1;0;0;0;0;0;0;0;0;0,2
      229305;229;305;246619;2009;urban;0;1;0;0;0;0;0;0;1;0;0,25
      359199;359;199;1098412;2008;rural;0;1;0;0;0;0;0;0;0;0;0,5
      200100;200;100;863318;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      499 79;499;79;1273417;2009;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
      467  8;467;8;1641452;2009;rural;0;0;0;0;0;0;0;0;1;0;0,25
      132162;132;162;857149;2009;rural;0;1;0;0;0;0;0;0;1;0;0,2
      192115;192;115;1558783;2009;rural;0;1;0;0;0;0;0;1;1;0;0,142857143
       59159;59;159;2610254;2008;rural;0;1;0;0;0;0;0;0;0;0;0,666666667
      198 32;198;32;1134049;2009;rural;0;0;0;0;0;0;0;0;1;0;0,2
      188 24;188;24;495278;2009;rural;0;0;0;0;0;0;0;0;0;0;0,666666667
      164 61;164;61;1287337;2009;rural;0;1;0;0;0;0;0;0;0;0;0,2
      408 55;408;55;149870;2009;rural;0;1;0;0;0;0;0;0;1;0;0,222222222
      512 34;512;34;169491;2008;urban;0;1;0;0;0;0;0;0;1;0;0,5
      139 55;139;55;196134;2009;rural;0;1;0;0;0;0;0;0;1;0;0,25
      453 12;453;12;661451;2009;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
      112132;112;132;199128;2008;urban;1;1;0;0;0;0;0;0;1;0;1
      191  1;191;1;509824;2009;rural;0;0;0;0;0;0;0;0;0;0;0,5
      200 42;200;42;863318;2009;rural;0;0;0;0;0;0;0;0;1;0;0,181818182
      442 53;442;53;232980;2009;rural;0;1;0;0;0;0;0;0;1;0;0,142857143
      448174;448;174;446272;2009;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
       95 30;95;30;2577907;2009;rural;0;1;0;0;0;0;0;0;0;0;0,5
      338 66;338;66;1680949;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
      353 33;353;33;390078;2009;urban;1;1;1;0;0;0;0;0;1;0;0,285714286
      514 91;514;91;598478;2008;rural;0;0;0;0;0;0;0;0;1;0;0,125
      480 29;480;29;254258;2009;rural;0;1;0;0;0;0;0;0;0;0;0,4
      544 62;544;62;360424;2009;rural;0;1;0;0;0;0;0;0;0;0;0,090909091
      203 18;203;18;919510;2009;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
      187  8;187;8;722920;2009;rural;0;1;0;0;0;0;0;0;0;0;0,2
      161 28;161;28;1921266;2009;rural;0;1;0;0;0;0;0;0;0;0;0,428571429
      369 79;369;79;675841;2009;rural;0;1;0;0;0;0;0;0;0;0;0,25
