cluster_nb,Longitude,Latitude,year,wealth_index
1,47.50284713,-18.9035981,2018.0,1.5688815898812885
2,47.51456889,-18.90422764,2018.0,1.9484864450345125
3,47.50846729,-18.90744,2018.0,1.9797213830103302
4,47.5126883,-18.91407082,2018.0,1.8874042574796417
5,47.53946856,-18.91736051,2018.0,1.556700874425398
6,47.56081754,-18.91492177,2018.0,1.714024730197785
7,47.53499032,-18.92934698,2018.0,0.7841112425771953
8,47.53961181,-18.93961462,2018.0,1.654791679045409
9,47.51693971,-18.89104647,2018.0,1.5481289750163272
10,47.53047844,-18.89947356,2018.0,1.8789707059193566
11,47.53449771,-18.90522793,2018.0,1.3375463219285568
12,47.49544911,-18.92767747,2018.0,1.6603340688653088
13,47.51496554,-18.92429933,2018.0,1.6853552843683308
14,47.5205143,-18.94056744,2018.0,1.7074155583760608
15,47.51803638,-18.93437408,2018.0,1.2840231497357064
16,47.51652043,-18.85344166,2018.0,0.7436273984579062
17,47.51969806,-18.8713595,2018.0,1.993364889746382
18,47.54073567,-18.88449341,2018.0,1.9064667966680686
19,47.53096242,-18.8892483,2018.0,1.72259762381881
20,47.5467215,-18.89195975,2018.0,1.9611984597368708
21,47.54783452,-18.89743265,2018.0,1.8348404973387265
22,47.55183696,-18.91064341,2018.0,1.8165681939669434
23,47.4871185,-18.86002248,2018.0,0.7932937651520453
24,47.50114784,-18.87252304,2018.0,2.022667086695099
25,46.97794936,-18.30461716,2018.0,-0.6835615662537095
26,47.85843043,-18.46968687,2018.0,1.0726800995699437
27,47.80208658,-18.91150899,2018.0,1.823374550717579
28,47.55802583,-18.83458469,2018.0,1.8217186703049117
29,47.48739456,-18.91077471,2018.0,0.7142216288231635
30,47.60691172,-19.20904457,2018.0,1.2376485002695665
31,46.93519545,-18.35633765,2018.0,-0.08233215199251813
32,47.22041223,-18.68149583,2018.0,1.6562592181295364
33,47.93875318,-18.17914992,2018.0,0.8427949016813443
34,47.65511387,-18.43657428,2018.0,1.424576313838693
35,47.46147174,-18.84873104,2018.0,1.2739006093116336
