,lat,lon,country,year
116,-19.06129944,47.24789859,Madagascar,2018
117,-19.07342991,47.34241449,Madagascar,2018
118,-19.12954581,47.12765939,Madagascar,2018
119,-19.18137391,47.32393956,Madagascar,2018
120,-19.2728681,47.39135432,Madagascar,2018
121,-19.31221057,47.17504237,Madagascar,2018
122,-19.07108287,46.75216122,Madagascar,2018
123,-19.15144219,46.57403649,Madagascar,2018
124,-19.21074545,46.85857947,Madagascar,2018
125,-19.12192766,46.52520108,Madagascar,2018
126,-19.22997202,46.3432399,Madagascar,2018
127,-19.27878242,46.54705568,Madagascar,2018
128,-18.76441244,46.04504625,Madagascar,2018
129,-18.76805867,46.04643534,Madagascar,2018
130,-18.78004166,46.05521683,Madagascar,2018
131,-18.41813523,46.66286794,Madagascar,2018
132,-18.47305836,46.6389725,Madagascar,2018
133,-18.31481347,45.54995352,Madagascar,2018
134,-18.47906138,46.17364943,Madagascar,2018
135,-18.6003898,46.21384431,Madagascar,2018
136,-18.74486077,46.21774809,Madagascar,2018
137,-18.71202016,46.48009323,Madagascar,2018
138,-18.8521276,46.44511869,Madagascar,2018
139,-18.6585753,45.97512596,Madagascar,2018
140,-18.78940656,46.11328964,Madagascar,2018
141,-18.94453732,46.08886755,Madagascar,2018
142,-18.98451043,46.37200053,Madagascar,2018
143,-18.95544884,46.41926209,Madagascar,2018
144,-19.01819584,46.45683506,Madagascar,2018
145,-19.11838367,46.20594842,Madagascar,2018
146,-19.05386171,46.34584598,Madagascar,2018
147,-19.36214361,46.15377886,Madagascar,2018
148,-19.03168454,46.12151435,Madagascar,2018
149,-19.04789314,45.98711932,Madagascar,2018
150,-19.19847514,45.96365226,Madagascar,2018
151,-19.01169285,46.01181514,Madagascar,2018
152,-19.02758898,45.75465168,Madagascar,2018
153,-18.6067536,46.85597676,Madagascar,2018
154,-18.60022163,46.91236012,Madagascar,2018
155,-18.28849246,46.12871428,Madagascar,2018
156,-17.87119036,46.39780309,Madagascar,2018
157,-18.02999257,46.42732185,Madagascar,2018
158,-18.35466711,45.82397024,Madagascar,2018
159,-18.51830983,46.41575792,Madagascar,2018
160,-21.45799593,47.0866449,Madagascar,2018
161,-21.465921,47.08517374,Madagascar,2018
162,-21.4371605,47.08549911,Madagascar,2018
163,-21.44758759,47.08944678,Madagascar,2018
164,-21.44835095,47.10733345,Madagascar,2018
165,-21.42380646,47.07495813,Madagascar,2018
166,-21.4886237,47.06291277,Madagascar,2018
167,-21.1083988,46.49556494,Madagascar,2018
